,date,city,precipitation
0,2020-01-01,SEA,0.1625
1,2020-01-02,SEA,0.18125000000000002
2,2020-01-03,SEA,0.2675
3,2020-01-04,SEA,0.17200000000000001
4,2020-01-05,SEA,0.16857142857142857
5,2020-01-06,SEA,0.23333333333333336
6,2020-01-07,SEA,0.5111111111111111
7,2020-01-08,SEA,0.0425
8,2020-01-09,SEA,0.060000000000000005
9,2020-01-10,SEA,0.16777777777777778
10,2020-01-11,SEA,0.4311111111111111
11,2020-01-12,SEA,0.3457142857142857
12,2020-01-13,SEA,0.22666666666666666
13,2020-01-14,SEA,0.14833333333333332
14,2020-01-15,SEA,0.022857142857142857
15,2020-01-16,SEA,0.04857142857142858
16,2020-01-17,SEA,0.008571428571428572
17,2020-01-18,SEA,0.5
18,2020-01-19,SEA,0.045714285714285714
19,2020-01-20,SEA,0.049999999999999996
20,2020-01-21,SEA,0.2814285714285714
21,2020-01-22,SEA,0.66
22,2020-01-23,SEA,0.5025
23,2020-01-24,SEA,0.8462500000000001
24,2020-01-25,SEA,0.3114285714285714
25,2020-01-26,SEA,0.29857142857142854
26,2020-01-27,SEA,0.17625
27,2020-01-28,SEA,0.97
28,2020-01-29,SEA,0.14500000000000002
29,2020-01-30,SEA,0.25375
30,2020-01-31,SEA,0.30142857142857143
31,2020-02-01,SEA,1.337142857142857
32,2020-02-02,SEA,0.08571428571428572
33,2020-02-03,SEA,0.06125
34,2020-02-04,SEA,0.004285714285714286
35,2020-02-05,SEA,0.5755555555555555
36,2020-02-06,SEA,1.1122222222222222
37,2020-02-07,SEA,0.5122222222222222
38,2020-02-08,SEA,0.21333333333333335
39,2020-02-09,SEA,0.02142857142857143
40,2020-02-10,SEA,0.00125
41,2020-02-11,SEA,0.0014285714285714286
42,2020-02-12,SEA,0.06714285714285714
43,2020-02-13,SEA,0.005
44,2020-02-14,SEA,0.1322222222222222
45,2020-02-15,SEA,0.08142857142857143
46,2020-02-16,SEA,0.198
47,2020-02-17,SEA,0.018333333333333337
48,2020-02-18,SEA,0.0
49,2020-02-19,SEA,0.0
50,2020-02-20,SEA,0.004
51,2020-02-21,SEA,0.0
52,2020-02-22,SEA,0.014000000000000002
53,2020-02-23,SEA,0.20714285714285713
54,2020-02-24,SEA,0.04
55,2020-02-25,SEA,0.0016666666666666668
56,2020-02-26,SEA,0.017142857142857144
57,2020-02-27,SEA,0.002857142857142857
58,2020-02-28,SEA,0.015
59,2020-02-29,SEA,0.11166666666666668
60,2020-03-01,SEA,0.043333333333333335
61,2020-03-02,SEA,0.02
62,2020-03-03,SEA,0.14857142857142858
63,2020-03-04,SEA,0.03
64,2020-03-05,SEA,0.045000000000000005
65,2020-03-06,SEA,0.6683333333333333
66,2020-03-07,SEA,0.09333333333333334
67,2020-03-08,SEA,0.09999999999999999
68,2020-03-09,SEA,0.01
69,2020-03-10,SEA,0.0
70,2020-03-11,SEA,0.041666666666666664
71,2020-03-12,SEA,0.03333333333333333
72,2020-03-13,SEA,0.13142857142857142
73,2020-03-14,SEA,0.23428571428571426
74,2020-03-15,SEA,0.0
75,2020-03-16,SEA,0.0
76,2020-03-17,SEA,0.0
77,2020-03-18,SEA,0.0
78,2020-03-19,SEA,0.0
79,2020-03-20,SEA,0.0
80,2020-03-21,SEA,0.0
81,2020-03-22,SEA,0.0
82,2020-03-23,SEA,0.016666666666666666
83,2020-03-24,SEA,0.022857142857142857
84,2020-03-25,SEA,0.42
85,2020-03-26,SEA,0.06666666666666667
86,2020-03-27,SEA,0.02142857142857143
87,2020-03-28,SEA,0.06874999999999999
88,2020-03-29,SEA,0.62875
89,2020-03-30,SEA,0.37875000000000003
90,2020-03-31,SEA,0.2957142857142857
91,2020-04-01,SEA,0.12
92,2020-04-02,SEA,0.018571428571428572
93,2020-04-03,SEA,0.007500000000000001
94,2020-04-04,SEA,0.0475
95,2020-04-05,SEA,0.0033333333333333335
96,2020-04-06,SEA,0.0
97,2020-04-07,SEA,0.0
98,2020-04-08,SEA,0.0
99,2020-04-09,SEA,0.0
100,2020-04-10,SEA,0.0
101,2020-04-11,SEA,0.0011111111111111111
102,2020-04-12,SEA,0.0
103,2020-04-13,SEA,0.0
104,2020-04-14,SEA,0.0
105,2020-04-15,SEA,0.0
106,2020-04-16,SEA,0.0
107,2020-04-17,SEA,0.0
108,2020-04-18,SEA,0.06625
109,2020-04-19,SEA,0.1388888888888889
110,2020-04-20,SEA,0.0
111,2020-04-21,SEA,0.0
112,2020-04-22,SEA,0.10285714285714286
113,2020-04-23,SEA,0.6875
114,2020-04-24,SEA,0.1025
115,2020-04-25,SEA,0.16666666666666666
116,2020-04-26,SEA,0.21500000000000002
117,2020-04-27,SEA,0.20875
118,2020-04-28,SEA,0.01
119,2020-04-29,SEA,0.01
120,2020-04-30,SEA,0.025714285714285714
121,2020-05-01,SEA,0.00375
122,2020-05-02,SEA,0.08125
123,2020-05-03,SEA,0.225
124,2020-05-04,SEA,0.015714285714285715
125,2020-05-05,SEA,0.0
126,2020-05-06,SEA,0.02
127,2020-05-07,SEA,0.02
128,2020-05-08,SEA,0.0
129,2020-05-09,SEA,0.0
130,2020-05-10,SEA,0.0
131,2020-05-11,SEA,0.0016666666666666668
132,2020-05-12,SEA,0.08428571428571428
133,2020-05-13,SEA,0.025714285714285714
134,2020-05-14,SEA,0.049999999999999996
135,2020-05-15,SEA,0.074
136,2020-05-16,SEA,0.138
137,2020-05-17,SEA,0.5314285714285715
138,2020-05-18,SEA,0.01
139,2020-05-19,SEA,0.0
140,2020-05-20,SEA,0.0
141,2020-05-21,SEA,0.36999999999999994
142,2020-05-22,SEA,0.12333333333333334
143,2020-05-23,SEA,0.21200000000000002
144,2020-05-24,SEA,0.0
145,2020-05-25,SEA,0.06666666666666667
146,2020-05-26,SEA,0.09833333333333334
147,2020-05-27,SEA,0.022
148,2020-05-28,SEA,0.0
149,2020-05-29,SEA,0.0
150,2020-05-30,SEA,0.0
151,2020-05-31,SEA,1.0542857142857143
152,2020-06-01,SEA,0.06142857142857144
153,2020-06-02,SEA,0.0
154,2020-06-03,SEA,0.01
155,2020-06-04,SEA,0.0
156,2020-06-05,SEA,0.0
157,2020-06-06,SEA,0.0
158,2020-06-07,SEA,0.1366666666666667
159,2020-06-08,SEA,0.043333333333333335
160,2020-06-09,SEA,0.16
161,2020-06-10,SEA,0.14166666666666666
162,2020-06-11,SEA,0.04
163,2020-06-12,SEA,0.1416666666666667
164,2020-06-13,SEA,0.20333333333333334
165,2020-06-14,SEA,0.17166666666666666
166,2020-06-15,SEA,0.096
167,2020-06-16,SEA,0.09
168,2020-06-17,SEA,0.0016666666666666668
169,2020-06-18,SEA,0.0
170,2020-06-19,SEA,0.0
171,2020-06-20,SEA,0.016
172,2020-06-21,SEA,0.05
173,2020-06-22,SEA,0.0
174,2020-06-23,SEA,0.0
175,2020-06-24,SEA,0.0
176,2020-06-25,SEA,0.0
177,2020-06-26,SEA,0.0
178,2020-06-27,SEA,0.11400000000000002
179,2020-06-28,SEA,0.625
180,2020-06-29,SEA,0.008
181,2020-06-30,SEA,0.055
182,2020-07-01,SEA,0.05
183,2020-07-02,SEA,0.008
184,2020-07-03,SEA,0.005
185,2020-07-04,SEA,0.0016666666666666668
186,2020-07-05,SEA,0.0
187,2020-07-06,SEA,0.0
188,2020-07-07,SEA,0.0
189,2020-07-08,SEA,0.0033333333333333335
190,2020-07-09,SEA,0.013333333333333334
191,2020-07-10,SEA,0.012
192,2020-07-11,SEA,0.002
193,2020-07-12,SEA,0.045714285714285714
194,2020-07-13,SEA,0.032
195,2020-07-14,SEA,0.0
196,2020-07-15,SEA,0.0
197,2020-07-16,SEA,0.0
198,2020-07-17,SEA,0.078
199,2020-07-18,SEA,0.012
200,2020-07-19,SEA,0.0
201,2020-07-20,SEA,0.0
202,2020-07-21,SEA,0.0
203,2020-07-22,SEA,0.0175
204,2020-07-23,SEA,0.004
205,2020-07-24,SEA,0.006
206,2020-07-25,SEA,0.0
207,2020-07-26,SEA,0.0
208,2020-07-27,SEA,0.0
209,2020-07-28,SEA,0.0
210,2020-07-29,SEA,0.0
211,2020-07-30,SEA,0.0
212,2020-07-31,SEA,0.0
213,2020-08-01,SEA,0.0
214,2020-08-02,SEA,0.0
215,2020-08-03,SEA,0.0
216,2020-08-04,SEA,0.0
217,2020-08-05,SEA,0.0
218,2020-08-06,SEA,0.028571428571428574
219,2020-08-07,SEA,0.13333333333333333
220,2020-08-08,SEA,0.021666666666666667
221,2020-08-09,SEA,0.016666666666666666
222,2020-08-10,SEA,0.0
223,2020-08-11,SEA,0.0
224,2020-08-12,SEA,0.0
225,2020-08-13,SEA,0.0
226,2020-08-14,SEA,0.0
227,2020-08-15,SEA,0.0
228,2020-08-16,SEA,0.0
229,2020-08-17,SEA,0.0
230,2020-08-18,SEA,0.0
231,2020-08-19,SEA,0.0
232,2020-08-20,SEA,0.04142857142857143
233,2020-08-21,SEA,0.0842857142857143
234,2020-08-22,SEA,0.045714285714285714
235,2020-08-23,SEA,0.0
236,2020-08-24,SEA,0.0
237,2020-08-25,SEA,0.0
238,2020-08-26,SEA,0.0
239,2020-08-27,SEA,0.0
240,2020-08-28,SEA,0.0
241,2020-08-29,SEA,0.0
242,2020-08-30,SEA,0.0
243,2020-08-31,SEA,0.025714285714285714
244,2020-09-01,SEA,0.0
245,2020-09-02,SEA,0.0
246,2020-09-03,SEA,0.0
247,2020-09-04,SEA,0.0
248,2020-09-05,SEA,0.0
249,2020-09-06,SEA,0.0
250,2020-09-07,SEA,0.0
251,2020-09-08,SEA,0.0
252,2020-09-09,SEA,0.0
253,2020-09-10,SEA,0.0
254,2020-09-11,SEA,0.0
255,2020-09-12,SEA,0.0
256,2020-09-13,SEA,0.0
257,2020-09-14,SEA,0.01
258,2020-09-15,SEA,0.08142857142857143
259,2020-09-16,SEA,0.014285714285714287
260,2020-09-17,SEA,0.0
261,2020-09-18,SEA,0.041428571428571426
262,2020-09-19,SEA,0.325
263,2020-09-20,SEA,0.24714285714285716
264,2020-09-21,SEA,0.028333333333333335
265,2020-09-22,SEA,0.041666666666666664
266,2020-09-23,SEA,0.34
267,2020-09-24,SEA,0.778
268,2020-09-25,SEA,0.6699999999999999
269,2020-09-26,SEA,0.405
270,2020-09-27,SEA,0.045
271,2020-09-28,SEA,0.002
272,2020-09-29,SEA,0.0
273,2020-09-30,SEA,0.0
274,2020-10-01,SEA,0.0
275,2020-10-02,SEA,0.0
276,2020-10-03,SEA,0.002
277,2020-10-04,SEA,0.030000000000000002
278,2020-10-05,SEA,0.014000000000000002
279,2020-10-06,SEA,0.0
280,2020-10-07,SEA,0.0
281,2020-10-08,SEA,0.01
282,2020-10-09,SEA,0.10400000000000001
283,2020-10-10,SEA,0.9339999999999999
284,2020-10-11,SEA,0.10857142857142857
285,2020-10-12,SEA,0.44999999999999996
286,2020-10-13,SEA,0.5633333333333334
287,2020-10-14,SEA,0.03333333333333333
288,2020-10-15,SEA,0.0
289,2020-10-16,SEA,0.011666666666666667
290,2020-10-17,SEA,0.17285714285714285
291,2020-10-18,SEA,0.023333333333333334
292,2020-10-19,SEA,0.060000000000000005
293,2020-10-20,SEA,0.17833333333333334
294,2020-10-21,SEA,0.06857142857142857
295,2020-10-22,SEA,0.22199999999999998
296,2020-10-23,SEA,0.03666666666666667
297,2020-10-24,SEA,0.10142857142857142
298,2020-10-25,SEA,0.006
299,2020-10-26,SEA,0.0033333333333333335
300,2020-10-27,SEA,0.0
301,2020-10-28,SEA,0.0
302,2020-10-29,SEA,0.02
303,2020-10-30,SEA,0.022857142857142857
304,2020-10-31,SEA,0.0
305,2020-11-01,SEA,0.0
306,2020-11-02,SEA,0.0
307,2020-11-03,SEA,0.1985714285714286
308,2020-11-04,SEA,0.6857142857142857
309,2020-11-05,SEA,0.1942857142857143
310,2020-11-06,SEA,0.098
311,2020-11-07,SEA,0.005
312,2020-11-08,SEA,0.008
313,2020-11-09,SEA,0.012
314,2020-11-10,SEA,0.09833333333333333
315,2020-11-11,SEA,0.02
316,2020-11-12,SEA,0.004
317,2020-11-13,SEA,0.88
318,2020-11-14,SEA,0.01
319,2020-11-15,SEA,0.475
320,2020-11-16,SEA,0.04
321,2020-11-17,SEA,0.694
322,2020-11-18,SEA,0.71
323,2020-11-19,SEA,0.29
324,2020-11-20,SEA,0.05
325,2020-11-21,SEA,0.024
326,2020-11-22,SEA,0.026000000000000002
327,2020-11-23,SEA,0.19499999999999998
328,2020-11-24,SEA,0.06333333333333334
329,2020-11-25,SEA,0.21600000000000003
330,2020-11-26,SEA,0.032
331,2020-11-27,SEA,0.042499999999999996
332,2020-11-28,SEA,0.046
333,2020-11-29,SEA,0.072
334,2020-11-30,SEA,0.438
335,2020-12-01,SEA,0.005
336,2020-12-02,SEA,0.0025
337,2020-12-03,SEA,0.0
338,2020-12-04,SEA,0.0
339,2020-12-05,SEA,0.0
340,2020-12-06,SEA,0.022
341,2020-12-07,SEA,0.002
342,2020-12-08,SEA,0.192
343,2020-12-09,SEA,0.47800000000000004
344,2020-12-10,SEA,0.02
345,2020-12-11,SEA,0.02
346,2020-12-12,SEA,0.0
347,2020-12-13,SEA,0.09
348,2020-12-14,SEA,0.16999999999999998
349,2020-12-15,SEA,0.2675
350,2020-12-16,SEA,0.076
351,2020-12-17,SEA,0.4416666666666667
352,2020-12-18,SEA,0.16799999999999998
353,2020-12-19,SEA,0.28833333333333333
354,2020-12-20,SEA,0.305
355,2020-12-21,SEA,0.6942857142857143
356,2020-12-22,SEA,1.635
357,2020-12-23,SEA,0.0033333333333333335
358,2020-12-24,SEA,0.0
359,2020-12-25,SEA,0.075
360,2020-12-26,SEA,0.43
361,2020-12-27,SEA,0.096
362,2020-12-28,SEA,0.096
363,2020-12-29,SEA,0.055
364,2020-12-30,SEA,0.6028571428571429
365,2020-12-31,SEA,0.43166666666666664
366,2021-01-01,SEA,0.17
367,2021-01-02,SEA,0.585
368,2021-01-03,SEA,1.4383333333333335
369,2021-01-04,SEA,0.5950000000000001
370,2021-01-05,SEA,0.3385714285714286
371,2021-01-06,SEA,0.9183333333333333
372,2021-01-07,SEA,0.005
373,2021-01-08,SEA,0.10428571428571429
374,2021-01-09,SEA,0.15571428571428572
375,2021-01-10,SEA,0.08833333333333333
376,2021-01-11,SEA,0.18499999999999997
377,2021-01-12,SEA,1.8399999999999999
378,2021-01-13,SEA,0.9199999999999999
379,2021-01-14,SEA,0.013333333333333334
380,2021-01-15,SEA,0.186
381,2021-01-16,SEA,0.0125
382,2021-01-17,SEA,0.036
383,2021-01-18,SEA,0.0
384,2021-01-19,SEA,0.0
385,2021-01-20,SEA,0.0
386,2021-01-21,SEA,0.03666666666666667
387,2021-01-22,SEA,0.012
388,2021-01-23,SEA,0.0
389,2021-01-24,SEA,0.11666666666666665
390,2021-01-25,SEA,0.154
391,2021-01-26,SEA,0.01
392,2021-01-27,SEA,0.098
393,2021-01-28,SEA,0.19333333333333333
394,2021-01-29,SEA,0.1366666666666667
395,2021-01-30,SEA,0.135
396,2021-01-31,SEA,0.21
397,2021-02-01,SEA,0.5825
398,2021-02-02,SEA,0.728
399,2021-02-03,SEA,0.356
400,2021-02-04,SEA,0.01
401,2021-02-05,SEA,0.13199999999999998
402,2021-02-06,SEA,0.026000000000000002
403,2021-02-07,SEA,0.0275
404,2021-02-08,SEA,0.124
405,2021-02-09,SEA,0.018
406,2021-02-10,SEA,0.0
407,2021-02-11,SEA,0.0
408,2021-02-12,SEA,0.076
409,2021-02-13,SEA,0.586
410,2021-02-14,SEA,0.33399999999999996
411,2021-02-15,SEA,0.45599999999999996
412,2021-02-16,SEA,0.10400000000000001
413,2021-02-17,SEA,0.044
414,2021-02-18,SEA,0.05
415,2021-02-19,SEA,0.1
416,2021-02-20,SEA,0.03333333333333333
417,2021-02-21,SEA,0.12
418,2021-02-22,SEA,0.23249999999999998
419,2021-02-23,SEA,0.21
420,2021-02-24,SEA,0.13
421,2021-02-25,SEA,0.172
422,2021-02-26,SEA,0.082
423,2021-02-27,SEA,0.08600000000000001
424,2021-02-28,SEA,0.024
425,2021-03-01,SEA,0.0
426,2021-03-02,SEA,0.002
427,2021-03-03,SEA,0.013333333333333334
428,2021-03-04,SEA,0.09999999999999999
429,2021-03-05,SEA,0.348
430,2021-03-06,SEA,0.0575
431,2021-03-07,SEA,0.13
432,2021-03-08,SEA,0.145
433,2021-03-09,SEA,0.0033333333333333335
434,2021-03-10,SEA,0.006
435,2021-03-11,SEA,0.0
436,2021-03-12,SEA,0.0
437,2021-03-13,SEA,0.0
438,2021-03-14,SEA,0.0725
439,2021-03-15,SEA,0.292
440,2021-03-16,SEA,0.0025
441,2021-03-17,SEA,0.0
442,2021-03-18,SEA,0.035
443,2021-03-19,SEA,0.2
444,2021-03-20,SEA,0.21
445,2021-03-21,SEA,0.2
446,2021-03-22,SEA,0.20800000000000002
447,2021-03-23,SEA,0.10400000000000001
448,2021-03-24,SEA,0.01
449,2021-03-25,SEA,0.6125
450,2021-03-26,SEA,0.016666666666666666
451,2021-03-27,SEA,0.0
452,2021-03-28,SEA,0.0
453,2021-03-29,SEA,0.29400000000000004
454,2021-03-30,SEA,0.005
455,2021-03-31,SEA,0.0
456,2021-04-01,SEA,0.0
457,2021-04-02,SEA,0.0
458,2021-04-03,SEA,0.0
459,2021-04-04,SEA,0.052500000000000005
460,2021-04-05,SEA,0.007500000000000001
461,2021-04-06,SEA,0.0
462,2021-04-07,SEA,0.0
463,2021-04-08,SEA,0.146
464,2021-04-09,SEA,0.0025
465,2021-04-10,SEA,0.034
466,2021-04-11,SEA,0.0
467,2021-04-12,SEA,0.0
468,2021-04-13,SEA,0.0
469,2021-04-14,SEA,0.0
470,2021-04-15,SEA,0.0
471,2021-04-16,SEA,0.0
472,2021-04-17,SEA,0.0
473,2021-04-18,SEA,0.0
474,2021-04-19,SEA,0.0
475,2021-04-20,SEA,0.0
476,2021-04-21,SEA,0.0
477,2021-04-22,SEA,0.0
478,2021-04-23,SEA,0.0
479,2021-04-24,SEA,0.22666666666666668
480,2021-04-25,SEA,0.35000000000000003
481,2021-04-26,SEA,0.0475
482,2021-04-27,SEA,0.0033333333333333335
483,2021-04-28,SEA,0.0
484,2021-04-29,SEA,0.0
485,2021-04-30,SEA,0.06999999999999999
486,2021-05-01,SEA,0.023333333333333334
487,2021-05-02,SEA,0.02
488,2021-05-03,SEA,0.0
489,2021-05-04,SEA,0.24
490,2021-05-05,SEA,0.0025
491,2021-05-06,SEA,0.0
492,2021-05-07,SEA,0.004
493,2021-05-08,SEA,0.182
494,2021-05-09,SEA,0.028000000000000004
495,2021-05-10,SEA,0.0
496,2021-05-11,SEA,0.0
497,2021-05-12,SEA,0.0
498,2021-05-13,SEA,0.0
499,2021-05-14,SEA,0.0
500,2021-05-15,SEA,0.0
501,2021-05-16,SEA,0.0
502,2021-05-17,SEA,0.014000000000000002
503,2021-05-18,SEA,0.07500000000000001
504,2021-05-19,SEA,0.22199999999999998
505,2021-05-20,SEA,0.005
506,2021-05-21,SEA,0.0
507,2021-05-22,SEA,0.0
508,2021-05-23,SEA,0.0
509,2021-05-24,SEA,0.066
510,2021-05-25,SEA,0.026000000000000002
511,2021-05-26,SEA,0.005
512,2021-05-27,SEA,0.22800000000000004
513,2021-05-28,SEA,0.11800000000000002
514,2021-05-29,SEA,0.0
515,2021-05-30,SEA,0.0
516,2021-05-31,SEA,0.0
517,2021-06-01,SEA,0.0
518,2021-06-02,SEA,0.0
519,2021-06-03,SEA,0.0
520,2021-06-04,SEA,0.0
521,2021-06-05,SEA,0.030000000000000006
522,2021-06-06,SEA,0.0
523,2021-06-07,SEA,0.588
524,2021-06-08,SEA,0.004
525,2021-06-09,SEA,0.0033333333333333335
526,2021-06-10,SEA,0.0
527,2021-06-11,SEA,0.115
528,2021-06-12,SEA,0.40249999999999997
529,2021-06-13,SEA,0.42333333333333334
530,2021-06-14,SEA,0.462
531,2021-06-15,SEA,0.06000000000000001
532,2021-06-16,SEA,0.0
533,2021-06-17,SEA,0.0
534,2021-06-18,SEA,0.0
535,2021-06-19,SEA,0.0
536,2021-06-20,SEA,0.0
537,2021-06-21,SEA,0.0
538,2021-06-22,SEA,0.0
539,2021-06-23,SEA,0.0
540,2021-06-24,SEA,0.0
541,2021-06-25,SEA,0.0
542,2021-06-26,SEA,0.0
543,2021-06-27,SEA,0.0
544,2021-06-28,SEA,0.0
545,2021-06-29,SEA,0.0
546,2021-06-30,SEA,0.0
547,2021-07-01,SEA,0.0
548,2021-07-02,SEA,0.0
549,2021-07-03,SEA,0.0
550,2021-07-04,SEA,0.0
551,2021-07-05,SEA,0.0
552,2021-07-06,SEA,0.0
553,2021-07-07,SEA,0.0
554,2021-07-08,SEA,0.0
555,2021-07-09,SEA,0.2
556,2021-07-10,SEA,0.0
557,2021-07-11,SEA,0.0
558,2021-07-12,SEA,0.0
559,2021-07-13,SEA,0.0
560,2021-07-14,SEA,0.0
561,2021-07-15,SEA,0.0
562,2021-07-16,SEA,0.0
563,2021-07-17,SEA,0.0
564,2021-07-18,SEA,0.0
565,2021-07-19,SEA,0.0
566,2021-07-20,SEA,0.022500000000000003
567,2021-07-21,SEA,0.023333333333333334
568,2021-07-22,SEA,0.0
569,2021-07-23,SEA,0.0
570,2021-07-24,SEA,0.0
571,2021-07-25,SEA,0.0
572,2021-07-26,SEA,0.0
573,2021-07-27,SEA,0.0
574,2021-07-28,SEA,0.0
575,2021-07-29,SEA,0.0
576,2021-07-30,SEA,0.0
577,2021-07-31,SEA,0.0
578,2021-08-01,SEA,0.0
579,2021-08-02,SEA,0.0
580,2021-08-03,SEA,0.0
581,2021-08-04,SEA,0.0125
582,2021-08-05,SEA,0.0
583,2021-08-06,SEA,0.05
584,2021-08-07,SEA,0.0225
585,2021-08-08,SEA,0.0925
586,2021-08-09,SEA,0.0025
587,2021-08-10,SEA,0.0
588,2021-08-11,SEA,0.0
589,2021-08-12,SEA,0.0
590,2021-08-13,SEA,0.0
591,2021-08-14,SEA,0.0
592,2021-08-15,SEA,0.0
593,2021-08-16,SEA,0.0
594,2021-08-17,SEA,0.0
595,2021-08-18,SEA,0.0
596,2021-08-19,SEA,0.0
597,2021-08-20,SEA,0.0
598,2021-08-21,SEA,0.0
599,2021-08-22,SEA,0.0
600,2021-08-23,SEA,0.0
601,2021-08-24,SEA,0.0
602,2021-08-25,SEA,0.0
603,2021-08-26,SEA,0.0
604,2021-08-27,SEA,0.05
605,2021-08-28,SEA,0.0175
606,2021-08-29,SEA,0.0
607,2021-08-30,SEA,0.0
608,2021-08-31,SEA,0.005
609,2021-09-01,SEA,0.0
610,2021-09-02,SEA,0.0
611,2021-09-03,SEA,0.0
612,2021-09-04,SEA,0.0
613,2021-09-05,SEA,0.0
614,2021-09-06,SEA,0.006666666666666667
615,2021-09-07,SEA,0.0
616,2021-09-08,SEA,0.0025
617,2021-09-09,SEA,0.0
618,2021-09-10,SEA,0.0
619,2021-09-11,SEA,0.01
620,2021-09-12,SEA,0.023333333333333334
621,2021-09-13,SEA,0.02666666666666667
622,2021-09-14,SEA,0.0
623,2021-09-15,SEA,0.034
624,2021-09-16,SEA,0.0
625,2021-09-17,SEA,0.12166666666666666
626,2021-09-18,SEA,0.808
627,2021-09-19,SEA,0.4666666666666666
628,2021-09-20,SEA,0.14666666666666667
629,2021-09-21,SEA,0.0
